atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
106,4,Olympic Coast-South,04.03,Split Rock Area,47 24.32,124 21.47,47.40533,-124.35783,EJ,Steller Sea Lion,<100,ALL,All tidal states,Small intertidal rock (USFWS ID 534) to east of Split Rock.
107,4,Olympic Coast-South,04.04,Sea Lion Rock,47 27.00,124 24.20,47.45,-124.40333,PV,Harbor Seal,<100,LOW,Low tide,Sea Lion Rock (USFWS ID 502) about 3 miles northwest of Split Rock.
108,4,Olympic Coast-South,04.05,Destruction Island/W End,47 40.35,124 29.30,47.6725,-124.48833,PV,Harbor Seal,<100,LOW,Low tide,Along intertidal channel and reef areas on west end of island.
109,4,Olympic Coast-South,04.06,Destruction Island/NE End,47 40.73,124 28.76,47.67883,-124.47933,"PV,MA",Harbor Seal; Northern Elephant Seal,100-500,LOW,Low tide,On intertidal reefs and main beach area on the northeast end of island. MA’s in winter and spring.
110,4,Olympic Coast-South,04.07,Islet N of Hoh River,47 45.23,124 27.24,47.75383,-124.454,PV,Harbor Seal,100-500,LOW,Low tide,On intertidal reefs just north of the Hoh River.
111,4,Olympic Coast-South,04.08,Alexander Island,47 47.90,124 30.23,47.79833,-124.50383,PV,Harbor Seal,<100,LOW,Low tide,Intertidal areas along the east side of Alexander Island.
112,4,Olympic Coast-South,04.09,Goodman Creek Area,47 49.24,124 30.66,47.82067,-124.511,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal rocks on south side of Goodman Creek.
113,4,Olympic Coast-South,04.10,S of Toleak Point,47 49.64,124 32.15,47.82733,-124.53583,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reef area south of Toleak Point.
114,4,Olympic Coast-South,04.11,Toleak Point,47 49.96,124 32.60,47.83267,-124.54333,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal reef areas at Toleak Point.
115,4,Olympic Coast-South,04.12,N of Toleak Point,47 50.24,124 32.65,47.83733,-124.54417,PV,Harbor Seal,<100,LOW,Low tide,Intertidal reefs and rocks in bay north of Toleak Point. Nursery area.
116,4,Olympic Coast-South,04.13,Strawberry Point,47 50.70,124 33.30,47.845,-124.555,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal areas at Strawberry Point.
117,4,Olympic Coast-South,04.14,Giants Graveyard,47 51.18,124 34.00,47.853,-124.56667,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal areas at Giants Graveyard. Nursery area.
118,4,Olympic Coast-South,04.14,Giants Graveyard,47 51.01,124 33.76,47.85017,-124.56267,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal areas at Giants Graveyard. Nursery area.
